"population","id","imfGDP","unGDP","country","gdpPerCapita","continent","rank"
341814420,840,28781080000000,25744100000000,"United States",84200.89474282565,"North America",1
1425178782,156,18532630000000,17963170521080,"China",13003.722925198588,"Asia",2
83252474,276,4591100000000,4076923618912,"Germany",55146.70951400195,"Europe",3
122631432,392,4110450000000,4232173916087,"Japan",33518.73115205896,"Asia",4
1441719852,356,3937010000000,3465541446546,"India",2730.7732459523627,"Asia",5
67961439,826,3495260000000,3089072722400,"United Kingdom",51430.04697119495,"Europe",6
64881830,250,3130010000000,2775316950606,"France",48241.70341681176,"Europe",7
217637297,76,2331390000000,1920095477164,"Brazil",10712.27235467825,"South America",8
58697744,380,2328030000000,2046952679267,"Italy",39661.31986265094,"Europe",9
39107046,124,2242180000000,2137939220075,"Canada",57334.42510590035,"North America",10
143957079,643,2056840000000.0002,2240422438363,"Russia",14287.869789300186,"Europe",11
129388467,484,2017030000000,1463323889037,"Mexico",15588.947351853238,"North America",12
26699482,36,1790350000000,1776577055828,"Australia",67055.60804512986,"Oceania",13
51741963,410,1760950000000,1673916512232,"South Korea",34033.304843884645,"Asia",14
47473373,724,1647110000000,1415874440909,"Spain",34695.44917316071,"Europe",15
279798049,360,1475690000000,1319100220389,"Indonesia",5274.125410359813,"Asia",16
17671125,528,1142510000000,1008027491155,"Netherlands",64654.06135715751,"Europe",17
86260417,792,1113560000000,907118411781,"Turkey",12909.281437858108,"Europe",18
37473929,682,1106020000000,1108148978218,"Saudi Arabia",29514.385854763186,"Asia",19
8851431,756,938458000000,818426550206,"Switzerland",106023.30854751056,"Europe",20
40221726,616,844623000000,688125010515,"Poland",20999.173431791565,"Europe",21
23950214,158,802958000000,0,"Taiwan",33526.13049720558,"Asia",22
11715774,56,655192000000,582643021606,"Belgium",55923.919324493625,"Europe",23
10673669,752,623048000000,591188594777,"Sweden",58372.430323630986,"Europe",24
46057866,32,604260000000,631133142842,"Argentina",13119.583091409402,"South America",25
5089478,372,564020000000,532415762408,"Ireland",110820.79537429968,"Europe",26
71885799,764,548890000000,495340592811,"Thailand",7635.5832116437905,"Asia",27
8977139,40,540886999999.99994,470302170937,"Austria",60251.60131752443,"Europe",28
9311652,376,530664000000,525002447653,"Israel",56989.243154705524,"Asia",29
9591853,784,527796000000.00006,507063968273,"United Arab Emirates",55025.44711642266,"Asia",30
5514477,578,526951000000,579422449510,"Norway",95557.74736207986,"Europe",31
6052709,702,525227999999.99994,466788684720,"Singapore",86775.69002573888,"Asia",32
119106224,608,471516000000,404284327312,"Philippines",3958.7855627091326,"Asia",33
99497680,704,465814000000,408802379068,"Vietnam",4681.656898934729,"Asia",34
89809781,364,464181000000,398047827909,"Iran",5168.490501051328,"Asia",35
174701211,50,455162000000,432677196297,"Bangladesh",2605.3740405955173,"Asia",36
34671895,458,445519000000,406305835133,"Malaysia",12849.571677579204,"Asia",37
5939695,208,409989000000,400167196949,"Denmark",69025.26139810208,"Europe",38
7496681,344,406775000000,359838598806,"Hong Kong",54260.67882573635,"Asia",39
52340774,170,386076000000,343939431021,"Colombia",7376.19967178934,"South America",40
61020221,710,373233000000,405270838094,"South Africa",6116.546185566913,"Africa",41
19618996,642,369971000000,300690523038,"Romania",18857.794761770685,"Europe",42
114484252,818,347594000000,409306889921,"Egypt",3036.1730450053515,"Africa",43
19658839,152,333760000000,300686006235,"Chile",16977.60483210631,"South America",44
10503734,203,325880000000,290527550627,"Czech Republic",31025.157339285248,"Europe",45
5549886,246,308055000000,282511948123,"Finland",55506.545539854334,"Europe",46
10223349,620,298949000000,254849986507,"Portugal",29241.787598173552,"Europe",47
19828165,398,296740000000,225496328925,"Kazakhstan",14965.580526488457,"Europe",48
34683444,604,282458000000,242631549613,"Peru",8143.885595674986,"South America",49
46278751,12,266779999999.99997,191912889424,"Algeria",5764.632671266344,"Africa",50
46523657,368,265894000000,264182174000,"Iraq",5715.242892449319,"Asia",51
5269939,554,257625999999.99997,245845230421,"New Zealand",48885.95484691568,"Oceania",52
229152217,566,252738000000,475058516256,"Nigeria",1102.9262701831071,"Africa",53
10302720,300,250276000000,217285748966,"Greece",24292.22574232824,"Europe",54
2737061,634,244686000000,237101110334,"Qatar",89397.34993118531,"Asia",55
